month,cluster_id,n_samples,n_benign,n_malicious,n_labeled,mal_ratio,age,birth_month,is_new,top_features
2016-01,10,2482,2341,49,2390,0.0205,1,0,False,intents::android_intent_action_MAIN(+0.347); intents::android_intent_category_LAUNCHER(+0.345); interesting_calls::getSystemService(+0.304); api_permissions::android_permission_INTERNET(+0.304); app_permissions::name='android_permission_INTERNET'(+0.303); api_calls::android/webkit/WebView(+0.234); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.229); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.225); activities::_MainActivity(+0.197); interesting_calls::getPackageInfo(+0.191)
2016-01,11,642,14,627,641,0.9782,1,0,False,api_calls::java/net/HttpURLConnection(+0.081); intents::android_intent_action_VIEW(+0.080); intents::android_intent_category_BROWSABLE(+0.080); interesting_calls::HttpPost(+0.080); intents::android_intent_action_SEARCH(+0.079); api_calls::android/media/MediaRecorder;->setAudioSource(+0.079); api_permissions::android_permission_READ_LOGS(+0.079); api_calls::java/lang/Runtime;->exec(+0.079); api_permissions::android_permission_CAMERA(+0.079); api_calls::android/hardware/Camera;->open(+0.079)
2016-01,12,2820,2684,32,2716,0.0118,1,0,False,interesting_calls::getPackageInfo(+0.206); app_permissions::name='android_permission_INTERNET'(+0.205); intents::android_intent_action_MAIN(+0.203); intents::android_intent_category_LAUNCHER(+0.202); interesting_calls::Cipher(AES/CBC/PKCS5Padding)(+0.202); interesting_calls::getSystemService(+0.201); api_permissions::android_permission_INTERNET(+0.200); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.200); interesting_calls::Obfuscation(Base64)(+0.199); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.199)
2016-01,13,3143,3072,11,3083,0.0036,1,0,False,api_calls::android/app/Activity;->startActivity(+0.282); api_calls::android/content/ContentResolver;->query(+0.279); intents::android_intent_action_MAIN(+0.272); interesting_calls::getSystemService(+0.272); intents::android_intent_category_LAUNCHER(+0.271); api_permissions::android_permission_READ_CONTACTS(+0.271); api_permissions::android_permission_INTERNET(+0.270); api_calls::java/net/Socket(+0.263); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.262); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.254)
2016-01,14,593,566,1,567,0.0018,1,0,False,interesting_calls::printStackTrace(+0.070); interesting_calls::HttpPost(+0.069); api_permissions::android_permission_READ_PHONE_STATE(+0.069); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.069); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.069); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.068); api_permissions::android_permission_ACCESS_WIFI_STATE(+0.068); api_permissions::android_permission_INTERNET(+0.068); interesting_calls::getSystemService(+0.068); interesting_calls::Read/Write External Storage(+0.068)
2016-01,15,6208,3007,2967,5974,0.4967,1,0,False,app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.190); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.187); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.183); intents::android_intent_action_MAIN(+0.183); intents::android_intent_category_LAUNCHER(+0.182); app_permissions::name='android_permission_INTERNET'(+0.182); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.181); interesting_calls::printStackTrace(+0.177); interesting_calls::getSystemService(+0.175); api_permissions::android_permission_INTERNET(+0.173)
2016-01,16,1140,992,139,1131,0.1229,1,0,False,interesting_calls::Obfuscation(Base64)(+0.139); app_permissions::name='android_permission_INTERNET'(+0.137); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.136); interesting_calls::getPackageInfo(+0.136); api_permissions::android_permission_INTERNET(+0.136); intents::android_intent_action_MAIN(+0.135); intents::android_intent_category_LAUNCHER(+0.135); interesting_calls::getSystemService(+0.135); interesting_calls::getDeviceId(+0.135); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.135)
2016-01,17,3462,3395,43,3438,0.0125,1,0,False,api_permissions::android_permission_READ_CONTACTS(+0.192); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.192); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.190); urls::http://www_gstatic_com/safa/sdk-core-v40_js\(+0.188); urls::http://media_admob_com/sdk-core-v40_js\(+0.188); urls::http://media_admob_com/mraid/v1/mraid_app_expanded_banner_js(+0.188); urls::http://media_admob_com/mraid/v1/mraid_app_interstitial_js(+0.188); urls::http://media_admob_com/mraid/v1/mraid_app_banner_js(+0.188); intents::android_intent_action_MAIN(+0.188); interesting_calls::getSystemService(+0.187)
2016-01,18,2929,2786,62,2848,0.0218,1,0,False,interesting_calls::getPackageInfo(+0.148); interesting_calls::Obfuscation(Base64)(+0.145); api_permissions::android_permission_READ_CONTACTS(+0.144); app_permissions::name='android_permission_INTERNET'(+0.143); intents::android_intent_action_MAIN(+0.142); intents::android_intent_category_LAUNCHER(+0.141); api_permissions::android_permission_INTERNET(+0.141); interesting_calls::getSystemService(+0.141); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.141); api_permissions::android_permission_VIBRATE(+0.140)
2016-01,19,2885,2523,358,2881,0.1243,1,0,False,interesting_calls::getPackageInfo(+0.178); interesting_calls::Cipher(AES/CBC/PKCS5Padding)(+0.168); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.167); interesting_calls::Obfuscation(Base64)(+0.166); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.165); app_permissions::name='android_permission_INTERNET'(+0.163); api_permissions::android_permission_READ_CONTACTS(+0.162); api_permissions::android_permission_INTERNET(+0.161); interesting_calls::getSystemService(+0.160); intents::android_intent_action_MAIN(+0.156)
2016-01,20,42,36,0,36,0.0,0,0,True,interesting_calls::getPackageInfo(+0.136); intents::android_intent_action_MAIN(+0.128); intents::android_intent_category_LAUNCHER(+0.126); interesting_calls::Read/Write External Storage(+0.125); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.125); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.125); app_permissions::name='android_permission_INTERNET'(+0.125); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.124); interesting_calls::getSystemService(+0.122); api_permissions::android_permission_INTERNET(+0.122)
2016-01,21,76,12,56,68,0.8235,0,0,True,app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.366); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.281); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.263); interesting_calls::printStackTrace(+0.241); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.220); app_permissions::name='android_permission_INTERNET'(+0.206); intents::android_intent_action_MAIN(+0.196); intents::android_intent_category_LAUNCHER(+0.194); app_permissions::name='android_permission_WAKE_LOCK'(+0.193); interesting_calls::getPackageInfo(+0.167)
2016-01,22,91,79,0,79,0.0,0,0,True,api_permissions::android_permission_READ_PHONE_STATE(+0.187); api_calls::java/net/Socket(+0.169); api_calls::android/location/LocationManager;->getLastKnownLocation(+0.168); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.162); app_permissions::name='android_permission_WAKE_LOCK'(+0.162); app_permissions::name='com_google_android_c2dm_permission_RECEIVE'(+0.157); providers::com_google_android_providers_gsf_permission_READ_GSERVICES(+0.157); app_permissions::name='com_google_android_providers_gsf_permission_READ_GSERVICES'(+0.157); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.152); api_permissions::android_permission_WAKE_LOCK(+0.152)
2016-01,23,245,190,20,210,0.0952,0,0,True,intents::android_intent_action_MAIN(+0.221); intents::android_intent_category_LAUNCHER(+0.220); interesting_calls::getSystemService(+0.216); api_permissions::android_permission_INTERNET(+0.215); app_permissions::name='android_permission_INTERNET'(+0.204); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.202); interesting_calls::Read/Write External Storage(+0.194); interesting_calls::getPackageInfo(+0.191); api_permissions::android_permission_READ_CONTACTS(+0.182); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.182)
2016-01,24,37,32,0,32,0.0,0,0,True,interesting_calls::printStackTrace(+0.162); interesting_calls::getPackageInfo(+0.147); intents::android_intent_action_MAIN(+0.143); intents::android_intent_category_LAUNCHER(+0.143); app_permissions::name='android_permission_INTERNET'(+0.141); interesting_calls::getSystemService(+0.139); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.138); api_permissions::android_permission_INTERNET(+0.138); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.138); interesting_calls::Obfuscation(Base64)(+0.138)
2016-02,0,3309,1246,46,1292,0.0356,2,0,False,interesting_calls::Obfuscation(Base64)(+0.168); interesting_calls::getPackageInfo(+0.166); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.154); api_permissions::android_permission_VIBRATE(+0.153); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.151); app_permissions::name='android_permission_INTERNET'(+0.149); interesting_calls::getSystemService(+0.149); api_permissions::android_permission_INTERNET(+0.149); intents::android_intent_action_MAIN(+0.148); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.148)
2016-02,1,4136,3749,105,3854,0.0272,2,0,False,intents::android_intent_action_MAIN(+0.196); intents::android_intent_category_LAUNCHER(+0.195); interesting_calls::getSystemService(+0.195); api_permissions::android_permission_INTERNET(+0.193); app_permissions::name='android_permission_INTERNET'(+0.191); api_permissions::android_permission_VIBRATE(+0.187); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.183); interesting_calls::getPackageInfo(+0.181); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.175); interesting_calls::printStackTrace(+0.175)
2016-02,2,1831,1792,5,1797,0.0028,2,0,False,intents::android_intent_action_MAIN(+0.210); intents::android_intent_category_LAUNCHER(+0.209); app_permissions::name='android_permission_INTERNET'(+0.208); api_permissions::android_permission_INTERNET(+0.204); interesting_calls::getSystemService(+0.203); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.194); activities::com_google_ads_AdActivity(+0.192); interesting_calls::Cipher(AES/CBC/PKCS5Padding)(+0.191); api_calls::android/content/ContentResolver;->query(+0.190); urls::http://media_admob_com/mraid/v1/mraid_app_expanded_banner_js(+0.190)
2016-02,3,6104,5413,400,5813,0.0688,2,0,False,urls::http://plus_google_com/(+0.163); interesting_calls::getSystemService(+0.158); api_permissions::android_permission_INTERNET(+0.158); urls::http://schemas_android_com/apk/lib/com_google_android_gms_plus(+0.158); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.158); intents::android_intent_action_MAIN(+0.158); urls::https://www_googleapis_com/auth/games_firstparty(+0.157); intents::android_intent_category_LAUNCHER(+0.157); urls::https://www_googleapis_com/auth/games(+0.157); urls::https://www_googleapis_com/auth/appstate(+0.157)
2016-02,4,1785,1481,4,1485,0.0027,2,0,False,api_permissions::android_permission_WAKE_LOCK(+0.285); interesting_calls::Read/Write External Storage(+0.270); interesting_calls::getSystemService(+0.265); intents::android_intent_action_MAIN(+0.264); intents::android_intent_category_LAUNCHER(+0.263); api_calls::android/os/PowerManager$WakeLock;->acquire(+0.262); api_permissions::android_permission_INTERNET(+0.261); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.248); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.247); api_calls::android/content/Context;->startActivity(+0.247)
2016-02,5,2341,2188,11,2199,0.005,2,0,False,api_calls::android/app/Activity;->startActivity(+0.244); interesting_calls::printStackTrace(+0.242); intents::android_intent_action_MAIN(+0.239); intents::android_intent_category_LAUNCHER(+0.238); interesting_calls::Read/Write External Storage(+0.236); api_permissions::android_permission_INTERNET(+0.234); interesting_calls::getSystemService(+0.233); api_calls::android/content/ContentResolver;->openInputStream(+0.226); app_permissions::name='android_permission_INTERNET'(+0.220); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.219)
2016-02,6,4696,3795,578,4373,0.1322,2,0,False,intents::android_intent_action_MAIN(+0.234); intents::android_intent_category_LAUNCHER(+0.234); interesting_calls::getSystemService(+0.232); api_permissions::android_permission_INTERNET(+0.231); app_permissions::name='android_permission_INTERNET'(+0.217); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.216); interesting_calls::Read/Write External Storage(+0.209); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.195); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.185); interesting_calls::getPackageInfo(+0.183)
2016-02,7,6271,5701,234,5935,0.0394,2,0,False,api_permissions::android_permission_READ_CONTACTS(+0.149); urls::https://www_googletagmanager_com(+0.149); urls::http://hostname/?(+0.149); urls::http://www_google_com(+0.147); urls::https://www_googleapis_com/auth/drive_appdata(+0.146); interesting_calls::getSystemService(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_interstitial_js(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_banner_js(+0.146); urls::http://media_admob_com/mraid/v1/mraid_app_expanded_banner_js(+0.146); urls::https://www_googleapis_com/auth/drive_file(+0.146)
2016-02,8,4083,3777,79,3856,0.0205,2,0,False,intents::android_intent_action_MAIN(+0.246); intents::android_intent_category_LAUNCHER(+0.245); interesting_calls::getSystemService(+0.238); api_permissions::android_permission_INTERNET(+0.235); app_permissions::name='android_permission_INTERNET'(+0.226); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.216); interesting_calls::printStackTrace(+0.213); interesting_calls::Read/Write External Storage(+0.205); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.203); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.199)
2016-02,9,3018,2852,47,2899,0.0162,2,0,False,intents::android_intent_action_MAIN(+0.133); intents::android_intent_category_LAUNCHER(+0.131); interesting_calls::getSystemService(+0.131); api_permissions::android_permission_INTERNET(+0.131); app_permissions::name='android_permission_INTERNET'(+0.130); api_permissions::android_permission_READ_CONTACTS(+0.130); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.129); interesting_calls::getPackageInfo(+0.128); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.127); urls::http://twitter4j_org/(+0.127)
2016-02,10,2565,2361,50,2411,0.0207,2,0,False,intents::android_intent_action_MAIN(+0.347); intents::android_intent_category_LAUNCHER(+0.345); interesting_calls::getSystemService(+0.304); api_permissions::android_permission_INTERNET(+0.304); app_permissions::name='android_permission_INTERNET'(+0.303); api_calls::android/webkit/WebView(+0.233); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.229); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.225); activities::_MainActivity(+0.198); interesting_calls::getPackageInfo(+0.191)
2016-02,11,643,14,627,641,0.9782,2,0,False,api_calls::java/net/HttpURLConnection(+0.081); intents::android_intent_action_VIEW(+0.080); intents::android_intent_category_BROWSABLE(+0.080); interesting_calls::HttpPost(+0.080); intents::android_intent_action_SEARCH(+0.079); api_calls::android/media/MediaRecorder;->setAudioSource(+0.079); api_permissions::android_permission_READ_LOGS(+0.079); api_calls::java/lang/Runtime;->exec(+0.079); api_permissions::android_permission_CAMERA(+0.079); api_calls::android/hardware/Camera;->open(+0.079)
2016-02,12,2960,2719,32,2751,0.0116,2,0,False,interesting_calls::getPackageInfo(+0.206); app_permissions::name='android_permission_INTERNET'(+0.205); intents::android_intent_action_MAIN(+0.203); intents::android_intent_category_LAUNCHER(+0.203); interesting_calls::Cipher(AES/CBC/PKCS5Padding)(+0.202); interesting_calls::getSystemService(+0.201); api_permissions::android_permission_INTERNET(+0.201); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.200); interesting_calls::Obfuscation(Base64)(+0.200); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.199)
2016-02,13,3201,3084,14,3098,0.0045,2,0,False,api_calls::android/app/Activity;->startActivity(+0.281); api_calls::android/content/ContentResolver;->query(+0.279); intents::android_intent_action_MAIN(+0.272); interesting_calls::getSystemService(+0.272); intents::android_intent_category_LAUNCHER(+0.271); api_permissions::android_permission_READ_CONTACTS(+0.271); api_permissions::android_permission_INTERNET(+0.270); api_calls::java/net/Socket(+0.263); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.262); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.255)
2016-02,14,620,573,1,574,0.0017,2,0,False,interesting_calls::HttpPost(+0.070); interesting_calls::printStackTrace(+0.069); api_permissions::android_permission_READ_PHONE_STATE(+0.069); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.069); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.069); api_permissions::android_permission_ACCESS_WIFI_STATE(+0.069); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.068); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.068); interesting_calls::Read/Write External Storage(+0.068); api_permissions::android_permission_INTERNET(+0.068)
2016-02,15,6435,3035,2996,6031,0.4968,2,0,False,app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.190); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.187); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.183); intents::android_intent_action_MAIN(+0.183); intents::android_intent_category_LAUNCHER(+0.182); app_permissions::name='android_permission_INTERNET'(+0.182); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.181); interesting_calls::printStackTrace(+0.177); interesting_calls::getSystemService(+0.175); interesting_calls::getPackageInfo(+0.173)
2016-02,16,1158,997,139,1136,0.1224,2,0,False,interesting_calls::Obfuscation(Base64)(+0.139); app_permissions::name='android_permission_INTERNET'(+0.137); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.136); interesting_calls::getPackageInfo(+0.136); api_permissions::android_permission_INTERNET(+0.136); intents::android_intent_action_MAIN(+0.135); intents::android_intent_category_LAUNCHER(+0.135); interesting_calls::getSystemService(+0.135); interesting_calls::getDeviceId(+0.135); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.135)
2016-02,17,3507,3406,43,3449,0.0125,2,0,False,api_permissions::android_permission_READ_CONTACTS(+0.192); api_calls::android/net/ConnectivityManager;->getActiveNetworkInfo(+0.192); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.190); urls::http://www_gstatic_com/safa/sdk-core-v40_js\(+0.188); urls::http://media_admob_com/sdk-core-v40_js\(+0.188); urls::http://media_admob_com/mraid/v1/mraid_app_expanded_banner_js(+0.188); urls::http://media_admob_com/mraid/v1/mraid_app_interstitial_js(+0.188); urls::http://media_admob_com/mraid/v1/mraid_app_banner_js(+0.188); intents::android_intent_action_MAIN(+0.188); interesting_calls::getSystemService(+0.188)
2016-02,18,3033,2812,62,2874,0.0216,2,0,False,interesting_calls::getPackageInfo(+0.148); interesting_calls::Obfuscation(Base64)(+0.146); api_permissions::android_permission_READ_CONTACTS(+0.143); app_permissions::name='android_permission_INTERNET'(+0.143); intents::android_intent_action_MAIN(+0.142); intents::android_intent_category_LAUNCHER(+0.141); api_permissions::android_permission_INTERNET(+0.141); interesting_calls::getSystemService(+0.141); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.141); api_permissions::android_permission_VIBRATE(+0.141)
2016-02,19,2901,2527,358,2885,0.1241,2,0,False,interesting_calls::getPackageInfo(+0.178); interesting_calls::Cipher(AES/CBC/PKCS5Padding)(+0.168); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.167); interesting_calls::Obfuscation(Base64)(+0.166); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.165); app_permissions::name='android_permission_INTERNET'(+0.163); api_permissions::android_permission_READ_CONTACTS(+0.162); api_permissions::android_permission_INTERNET(+0.161); interesting_calls::getSystemService(+0.160); intents::android_intent_action_MAIN(+0.156)
2016-02,20,88,48,0,48,0.0,1,0,False,interesting_calls::getPackageInfo(+0.138); api_permissions::android_permission_MANAGE_ACCOUNTS(+0.128); intents::android_intent_action_MAIN(+0.126); app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.125); intents::android_intent_category_LAUNCHER(+0.125); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.125); app_permissions::name='android_permission_INTERNET'(+0.125); interesting_calls::Read/Write External Storage(+0.125); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.125); api_calls::android/accounts/AccountManager;->invalidateAuthToken(+0.125)
2016-02,21,197,13,86,99,0.8687,1,0,False,app_permissions::name='android_permission_WRITE_EXTERNAL_STORAGE'(+0.368); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.286); app_permissions::name='android_permission_ACCESS_WIFI_STATE'(+0.269); interesting_calls::printStackTrace(+0.241); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.225); app_permissions::name='android_permission_INTERNET'(+0.213); intents::android_intent_action_MAIN(+0.203); intents::android_intent_category_LAUNCHER(+0.201); app_permissions::name='android_permission_WAKE_LOCK'(+0.194); interesting_calls::getPackageInfo(+0.170)
2016-02,22,97,81,0,81,0.0,1,0,False,api_permissions::android_permission_READ_PHONE_STATE(+0.187); api_calls::java/net/Socket(+0.169); api_calls::android/location/LocationManager;->getLastKnownLocation(+0.168); api_permissions::android_permission_ACCESS_FINE_LOCATION(+0.162); app_permissions::name='android_permission_WAKE_LOCK'(+0.162); app_permissions::name='com_google_android_c2dm_permission_RECEIVE'(+0.157); providers::com_google_android_providers_gsf_permission_READ_GSERVICES(+0.157); app_permissions::name='com_google_android_providers_gsf_permission_READ_GSERVICES'(+0.157); app_permissions::name='android_permission_READ_PHONE_STATE'(+0.152); api_permissions::android_permission_WAKE_LOCK(+0.152)
2016-02,23,676,284,35,319,0.1097,1,0,False,intents::android_intent_action_MAIN(+0.204); intents::android_intent_category_LAUNCHER(+0.203); interesting_calls::getSystemService(+0.203); api_permissions::android_permission_INTERNET(+0.202); api_permissions::android_permission_ACCESS_NETWORK_STATE(+0.200); interesting_calls::getPackageInfo(+0.191); app_permissions::name='android_permission_INTERNET'(+0.190); interesting_calls::Read/Write External Storage(+0.188); interesting_calls::Obfuscation(Base64)(+0.184); app_permissions::name='android_permission_ACCESS_NETWORK_STATE'(+0.179)
